Image,Recognized Plates
1019.jpg,114T7289
1025.jpg,16TT504
1031.jpg,10TT500
957.jpg,10TT501
943.jpg,119T645
994.jpg,11TT551
981.jpg,131T990
995.jpg,11TT501
942.jpg,11TT558
956.jpg,15TT649
1030.jpg,100T731
1024.jpg,"168T551, 138T551"
1018.jpg,14TT145
1032.jpg,13TT798
1026.jpg,17TT996
940.jpg,65TT143
954.jpg,11TT527
968.jpg,65T3643
983.jpg,13TT993
997.jpg,171T5956
996.jpg,115T990
982.jpg,18TT526
969.jpg,"13TT998, 177T5289"
955.jpg,16TT513
941.jpg,13TT794
1027.jpg,110T595
1033.jpg,133T911
1037.jpg,16TT603
1023.jpg,"115T699, 11TT527"
979.jpg,17TT937
945.jpg,11TT551
951.jpg,15TT966
986.jpg,11TT730
992.jpg,17TT547
993.jpg,131T993
987.jpg,16TT504
950.jpg,144T274
944.jpg,11TT592
978.jpg,13TT673
1022.jpg,13TT673
1036.jpg,11TT501
1020.jpg,13TT530
1034.jpg,111T598
1008.jpg,11TT141
952.jpg,133T518
946.jpg,14TT841
991.jpg,161T663
985.jpg,13TT977
984.jpg,13TT713
990.jpg,13TT738
947.jpg,13TT663
953.jpg,17TT501
1009.jpg,13TT823
1035.jpg,11TT551
1021.jpg,11TT103
1046.jpg,10TT540
1052.jpg,"13TT963, 11TT577"
1085.jpg,"17TT973, 13TT558"
1091.jpg,13TT527
934.jpg,13TT758
920.jpg,13TT591
908.jpg,16TT601
909.jpg,11TT551
921.jpg,16TT603
935.jpg,11TT558
1090.jpg,161T263
1084.jpg,17TT633
1053.jpg,91TT734
1047.jpg,"17TT994, 11TT651"
1079.jpg,13TT798
1051.jpg,"11TT741, 119T841"
1045.jpg,13TT968
1092.jpg,140T774
1086.jpg,91T3734
923.jpg,13TT640
937.jpg,13TT228
936.jpg,17TT997
922.jpg,"13TT828, 10TT671"
1087.jpg,131T2950
1093.jpg,11TT741
1044.jpg,13TT790
1050.jpg,"14TT876, 14TT891"
1078.jpg,13TT740
1108.jpg,13TT551
1054.jpg,16TT503
1040.jpg,97T3543
1068.jpg,11TT551
1083.jpg,13TT998
926.jpg,13TT973
932.jpg,16TT603
933.jpg,91TT734
927.jpg,17TT504
1082.jpg,13TT591
1096.jpg,13TT794
1069.jpg,"106T9502, 13TT532"
1041.jpg,"11TT109, 14TT734"
1055.jpg,14TT109
1109.jpg,17TT674
1043.jpg,13TT990
1057.jpg,13TT990
1080.jpg,115T295
1094.jpg,13TT921
919.jpg,110T731
931.jpg,13TT930
925.jpg,13TT827
924.jpg,"13TT914, 110T731, 94TT734"
930.jpg,11TT551
918.jpg,13TT663
1095.jpg,11TT551
1081.jpg,16TT603
1056.jpg,17TT592
1042.jpg,92T3734
1113.jpg,13TT790
1107.jpg,11TT551
1067.jpg,13TT663
1073.jpg,13TT603
1098.jpg,13TT590
915.jpg,13TT574
901.jpg,11TT537
929.jpg,15TT673
928.jpg,11TT551
914.jpg,11TT591
1099.jpg,14TT744
1072.jpg,13TT963
1066.jpg,"113T5950, 11TT826"
1106.jpg,"17TT513, 11TT551"
1112.jpg,17TT594
1104.jpg,13TT558
1110.jpg,16TT603
1058.jpg,13TT527
1070.jpg,11TT551
1064.jpg,13TT973
902.jpg,13TT558
917.jpg,"13TT998, 13TT908, 13TT518"
903.jpg,17TT267
1065.jpg,65TT643
1071.jpg,11TT591
1059.jpg,14TT609
1111.jpg,16TT603
1105.jpg,65T6646
1101.jpg,13TT468
1075.jpg,16TT733
1061.jpg,16TT116
1049.jpg,130T8215
907.jpg,11TT551
913.jpg,13TT558
912.jpg,139T245
906.jpg,14TT974
1048.jpg,114T7289
1060.jpg,72T3747
1074.jpg,17TT537
1100.jpg,168T893
1102.jpg,10TT540
1062.jpg,11TT997
1076.jpg,11TT603
1089.jpg,131T990
938.jpg,13TT963
910.jpg,14TT994
904.jpg,15TT643
905.jpg,11TT551
911.jpg,11TT551
939.jpg,17TT696
1088.jpg,13TT918
1077.jpg,11TT605
1063.jpg,11TT591
1103.jpg,10TT504
1038.jpg,15TT660
1004.jpg,13TT591
1010.jpg,13TT690
976.jpg,10TT504
962.jpg,"131T693, 133T998"
989.jpg,11TT526
988.jpg,113T558
963.jpg,13TT590
977.jpg,182T725
1011.jpg,18TT228
1005.jpg,11TT997
1039.jpg,13TT1289
1013.jpg,16TT603
1007.jpg,17TT963
961.jpg,10TT734
975.jpg,13TT827
949.jpg,17TT398
948.jpg,17TT994
974.jpg,11TT551
960.jpg,13TT938
1006.jpg,18TT234
1012.jpg,100T731
1016.jpg,15TT1053
1002.jpg,11TT826
958.jpg,133T518
964.jpg,15TT9053
970.jpg,13TT601
971.jpg,14TT784
965.jpg,16TT603
959.jpg,11TT651
1003.jpg,11TT149
1017.jpg,13TT768
1001.jpg,11TT536
1015.jpg,75TT647
1029.jpg,13TT668
973.jpg,11TT774
967.jpg,11TT537
998.jpg,17TT774
999.jpg,174T1053
966.jpg,"13TT700, 13TT790"
972.jpg,14TT295
1028.jpg,"13TT794, 11TT651, 13TT591"
1014.jpg,13TT661
1000.jpg,11TT590
